Run_ID,Run_Name,Run_Description,Start_Date,End_Date,Run_Status,Run Type
00d06a4c-a012-4dc7-a300-1fa735d9ca1f,TomsRun,This is the test run made by Tom,10081991,02052018,0,6
fcd39e00-6769-4d12-9915-0c9330aee408,Dave's Run,This is David's run.,21071989,02052018,0,6
f144ec22-921f-43ff-a93c-189695336580,El's Run,Elinor's run for IPS.,24011988,03052018,0,6
c753cdbb-8fa9-4434-83ef-be437ffc99bf,FolderShuffleTest,Testing after moving files...,10011991,12021212,0,6
046b2214-26eb-4168-b685-86002f365847,ThisRunName,ThisRunDescription.,10031991,12102001,3,6
a5ef49a2-fa13-4405-8821-66604fc1f5cb,Mah,oney,10011991,03032018,0,6
9d7f2b0c-b2c1-46f2-b7f0-d7910b6f2442,Brand New Run,This is a new run added to the list.,22042017,22042018,2,6
a708b2ff-a4d6-4984-a5ab-3514dce0b3e5,David's New Run,Dave is a leg-end,10032018,20022019,2,6
8f3d7ecf-3654-448f-8f77-fea0d0b5f8f4,Run,Nassir,10011991,10011991,2,6
f3345b75-80ab-496d-8ad8-6fa1d33b09f0,cfv,fbf,10012011,12072011,1,6
74ba58ea-373b-4d5d-8003-699422881eae,Ntyn,rbvrb,11002016,10022019,1,6
1f451a03-02a2-4597-8a95-70961b1a9c29,Mark's,Mark is cool.,10051991,08052018,0,6
